Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS  VANDALIA                 ,            ,24          ,581208      ,A1 118-A    ,30                  ,1862-01-26,1863-02-04,https://catalog.archives.gov/id/183362161         ,39          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-vandalia-030/581208-vandalia-030.pdf
Alert  March 1884 - April 1884,            ,24          ,581208      ,A1 118-A    ,Volume 26 of 66     ,1884-03-01,1884-04-30,https://catalog.archives.gov/id/23661898          ,40          ,https://catalog.archives.gov/OpaAPI/media/23661898/content/dc-metro/rg-024/581208/0002/Alert-vol026of066/Alert-vol026of066.pdf
USS Monocacy II               ,            ,24          ,581208      ,A1 118-A    ,vol04of04           ,1916-01-01,1916-06-30,https://catalog.archives.gov/id/148842383         ,40          ,            
USS  MONONGAHELA              ,            ,24          ,581208      ,A1 118-A    ,62                  ,1908-04-01,1908-05-01,https://catalog.archives.gov/id/167219189         ,40          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-monongahela-062/581208-monongahela-062.pdf
USS  PLYMOUTH                 ,            ,24          ,581208      ,A1 118-A    ,5                   ,1850-11-25,1851-02-06,https://catalog.archives.gov/id/169771322         ,40          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-plymouth-005/581208-plymouth-005.pdf
USS Monocacy II               ,            ,24          ,581208      ,A1 118-A    ,vol02of04           ,1915-01-01,1915-06-30,https://catalog.archives.gov/id/148842288         ,43          ,            
USS  DALE                     ,            ,24          ,581208      ,A1 118-A    ,20                  ,1863-07-12,1863-09-19,https://catalog.archives.gov/id/183317859         ,43          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-dale-020/581208-dale-020.pdf
USS Monocacy II               ,            ,24          ,581208      ,A1 118-A    ,vol01of04           ,1914-06-01,1914-12-31,https://catalog.archives.gov/id/148842242         ,44          ,            
USS  MONONGAHELA              ,            ,24          ,581208      ,A1 118-A    ,23                  ,1879-10-20,1879-11-21,https://catalog.archives.gov/id/167212467         ,44          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-monongahela-023/581208-monongahela-023.pdf
USS  SABINE                   ,            ,24          ,581208      ,A1 118-A    ,27                  ,1876-06-24,1876-08-16,https://catalog.archives.gov/id/183346537         ,44          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-sabine-027/581208-sabine-027.pdf
USS  WACHUSETT                ,            ,24          ,581208      ,A1 118-A    ,10                  ,1868-01-01,1868-02-04,https://catalog.archives.gov/id/169806331         ,45          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-010/581208-wachusett-010.pdf
